# vs_cfr 2960003-dirty seed=1 samples=128 throttle_ms=500 shim=/home/jdh8/.dotnet/dotnet /home/jdh8/src/hearts-engine/tournament/CfrShim/bin/Release/net10.0/CfrShim.dll
pair,seating,direction,deal_seed,cfr_seats,north,east,south,west,shooter,shooter_side,mc_attempts,mc_passes,passes_nesw,plays_by_trick,cfr_payoff
207,0,hold,17211470238789031162,EW,9,2,2,13,,,0,0,///,E2CSACW9CNKC/SJSWTSN9SE7S/S2SW4SNASE6S/N3SEKSSAHW4C/EJDSQDW6DNTD/S3CW8HNQCEJC/N5CETCS6CW4H/ETHS9HW5HNQH/N2DEQSS3DW4D/W3HNJHE7HS6H/N8DE8SSKDWAD/W2HN9DE5SSKH/S5DW7DN8CE7C,-1.333333
207,1,hold,17211470238789031162,NS,8,3,2,13,,,0,0,///,E2CSACW9CNKC/SJSWTSN9SEKS/ETCS6CW4CNQC/N8DEJDSKDWAD/W4SN3SE5SS2S/EJCS3CW8HN8C/E7CSAHW5HN5C/E7HS6HW4HNJH/NQHETHS9HW3H/N2DEQSS3DW7D/W2HNTDE8SSKH/S5DW4DN9DE7S/NASE6SSQDW6D,2.000000
208,0,left,10165440984402678033,EW,1,25,0,0,,,0,0,KHAHAS/KC9HQS/9CTCTH/2CADKS,N2CE7CS6CWTC/W6SN4SEASSQS/EQCSKCW9CNAC/NKSE3DSJSW8S/N3CE4CSTSW5C/WTDNKDE6DS4D/N3SE5DS2SWTH/N3HE6HS4HW5H/E8HS2HW7HNAD/EJHS9HW9DNJC/EKHS9SWJDN8D/EQHS7SWQDN8C/EAHS5SW7DN2D,-8.000000
208,1,left,10165440984402678033,NS,7,4,0,15,,,0,0,8DKDAS/QCKCQS/6C9CTC/QDADKS,W2CNJCE7CSQC/SKCWTCN8CE4C/S9SW8SN4SEAS/E3DS4DW7DNQD/N3CEQHSTHW9C/W5HN3HE8HS2H/E5DSQSW9DN2D/W6SNKSEJHS7S/NACE9HS5SW6C/N3SE6HS2SW7H/NADEKDSTSWJD/NKHE8DS4HWTD/NAHE6DSJSW5C,4.000000
209,0,right,3119411730016324900,EW,26,26,26,0,W,cfr,0,0,9DJDKH/2C9CKC/7C8CQC/AC4D9H,N2CE8CSACWTC/S3SW6SN4SE9S/E8SS7SWTSNTH/WJCN9CE7CSAS/WJDN8HETDS7D/WADN7HE5DSKD/WQSN6HE2SSJS/WKSNKCEQCS5S/WAHN5HE3DSJH/WKHN3HE2DS9H/WQHN6CE3CS4H/W2HN5CEQDS6D/W9DN4CE8DS4D,8.666667
209,1,right,3119411730016324900,NS,0,0,1,25,,,1,1,5C9DJD/9CKCTD/8CQCJH/4D2H6S,E2CS7CW5CNKC/N4SE2SS6SWKS/WADNTDEQDS6D/WACN6CEQCS7D/WQSNTHE9SS5S/WAHN7HEJHS4H/WQHN6HE8SS2H/WJDN5HE8DSKD/S4DW9DNKHE5D/WTSN8HE8CS7S/W9HN3HE3DSAS/WTCN9CE3CSJS/WJCN4CE2DS3S,8.000000
210,0,across,14520126549339523387,EW,4,15,1,6,,,0,0,QCKCAH/TC9HJH/ACJDKS/2CJCKD,E2CSQCWTCN4C/S2SW4SN8SEAS/E7SSAHW6SNKS/NACEJCS8CW6C/N5SE9SSKHW3S/ETSS8DWJSNQH/WTDN5DE9DSTH/W6DN3DE4DS5H/W7HN2HEADS4H/W6HN8HEKDS3H/N2DE7DSKCWQS/E5CS3CW9HNQD/E7CS9CWJHNJD,-5.333333
210,1,across,14520126549339523387,NS,3,19,0,4,,,1,0,4CQCKC/9HJHAS/8DJDKS/TDKDQS,W2CNKSETCSKC/S2SW3SN8SEQS/EADSTHW6DNJD/EKDS5HWASN8D/ETSS8CWJSN5S/W6HN2HE4DS3H/W7HNQHE7SS4H/N5DE7DSKHWJH/E5CS4CWJCNAH/W4SN8HE9SSAC/E7CS3CW6CN3D/E9DS9CW9HN2D/ETDSQCW6SNQD,6.666667
211,0,hold,7474097294953170254,EW,5,1,16,4,,,0,0,///,S2CWACNQCE3C/W6SN2SE9SS5S/E8SSJCW7HN7S/E6HS5HW2HNAH/N5CEQSS7CW4C/S4DWJDNADEKH/N6CE9HSKCWTC/S5DWQDN6DETH/WKDN3DE8HSTD/W8DNJHE4HS7D/W2DNASE4SS9D/S3HW9CNKSEJS/SQHW8CNTSE3S,5.333333
211,1,hold,7474097294953170254,NS,23,0,0,3,,,0,0,///,S2CWACN5CE3C/W6SNTSE9SS5S/N3DEKHS4DWJD/W2HNJHETHS5H/N7SE4SSQHW7H/N6DE3SS5DWQD/W2DNADEQSSTD/NASEJSSJCWKD/N6CE8SSKCWTC/S7DW8DNAHE9H/W4CNQCE8HS7C/N2SE6HS9DW9C/NKSE4HS3HW8C,-6.666667
212,0,left,428068040566817125,EW,3,15,0,8,,,0,0,ADQSAS/3D4D5D/ACTDKH/2CTCAH,N2CEKCS7CWAC/WTSN6SE7SS9S/W8DN7DEADS9D/EQCS6CWQHNJC/E3HS4HWTHN9H/W5SNKDE8SSJS/S3SW4SNTCEAS/EJHS8HWKHN7H/W2SNJDEQSS5H/E4CS5DWTDN8C/N2HE9CS4DWKS/N6HE5CS3DWQD/NAHE3CS2DW6D,-6.666667
212,1,left,428068040566817125,NS,3,1,16,6,,,0,0,JCQSAS/QCKCJH/6C7CAC/THQHAH,W2CN8CE5CSQC/SJSWTSN6SEAS/E3DSTDWQDNAD/N7DE5DS9DW8D/S9SW5SNKDE8S/S2DW6DNJDE4D/NTHE3HS8HWKS/N2HEQSS4HWAC/SKCWTCNAHEJC/S3SW2SNQHE7S/E3CSKHW6CN9H/W4SN7HE9CSJH/W7CN6HE4CS5H,-4.000000
213,0,right,11828782859890015608,EW,2,0,19,5,,,1,0,6CQDKD/8CJHQS/9DAD8H/2D7DTD,S2CW9CN8CE4C/WKDNJDE5DSTD/W3CNQSEASSAC/SKCW7CN9SETS/SQCW6CN7SE6H/SJSW4SN5SE8S/SJCWTHN3DE4H/STCW3HNAHE8H/S7DWQDNQHE6D/W2HN5HE9DS6S/N7HEADS5CWKH/W3SNJHE4DS2S/WKSN9HE8DS2D,5.333333
213,1,right,11828782859890015608,NS,13,0,12,1,,,0,0,6CJDKD/JHQSAS/8H2S6S/TDKHKS,S2CW9CN3DE8C/W3SNASETSSKS/NQSE6SSJSW4S/NQDE8DSTDWKD/W3CN7SE4CSKC/S9DW7DN9SE6D/SADWJDN5SE5D/S5CW6CNQHE4D/WTHN7HE8HSKH/SQCW7CNJHE6H/STCW3HNAHE4H/SJCW2HN9HE8S/SACW2DN5HE2S,-8.000000
214,0,across,4782753605503662479,EW,19,3,4,0,,,0,0,AHKSAS/QC2D8D/AC8HQS/KCTDQD,S2CWQCNACEKC/N8SE5SS6SW7S/NQSE4SSJSW9S/NJDETDS5DW6D/NKDEQDS4DW9D/NADE5CSASW3D/N8CE3CS7CWTS/N9CE6HS6CWTH/N3HE2HSAHW4H/S4CW5HNTCEQH/N8HE7HSKSW7D/N9HEJHS3SW8D/EKHS2SW2DNJC,6.666667
214,1,across,4782753605503662479,NS,26,26,0,26,S,cfr,0,0,JCKSAS/QCQHKH/4D5D8H/KCQDTH,S2CWQCN9CEKC/E4SSASWTSN8S/SKSW9SN8CE5S/SJSW7SNTCEJH/S6SWKHNKDE8D/S2SWQHNJDE5C/S3SW6DN9HE2D/S7CW5HN8HE3C/S4CW4HNAHETH/SACWTDN3HEQD/SJCW9DN5DE7H/S6CW7DN4DE6H/SQSW3DNADE2H,8.666667
215,0,hold,16183468424826860962,EW,15,8,3,0,,,0,0,///,E2CSACWTCNKC/SQDWADNKDEJD/WQCN9CE6CS8C/W8DN6DE9DS7D/EJSS8SW6SN2S/E2DS3DW7HNTD/N4HETHS9HW6H/E4DSKHWQSN5D/N7CE5CS4CW3C/N2HE3HS5HWKS/S5SW4SNQHEAS/ETSS7SW3SNJH/EAHSJCW9SN8H,3.333333
215,1,hold,16183468424826860962,NS,14,7,0,5,,,0,0,///,E2CSACWQCNKC/S8SW6SN2SEAS/ETSS7SW3SN9C/EJSS5SW4SN7C/E9DSQDW8DNTD/S7DWADNKDEJD/WTCNQHE6CS8C/W6HN4HE3HS5H/W3CNJHE5CS4C/E2DS3DWQSN6D/N2HETHS9HW7H/E4DSKHWKSN5D/N8HEAHSJCW9S,-0.666667
216,0,left,9137439170440507833,EW,0,22,1,3,,,0,0,JHQHKS/2C9CJC/TCAC8H/KCJDAD,S2CWACNKCE7D/WQDNJDE9DSKD/S7SW5SN6SEKS/EASS9SWQSN2S/EJSSJCWTSNAD/E8SSTDW4SNQC/E3SS9CWTCN8D/E3DS4DWTHN2D/S3HW2HN4HEJH/E5HS6DWKHN7H/W6HN8CEAHS5D/E9HS5CW8HN7C/EQHS3CW6CN4C,-8.000000
216,1,left,9137439170440507833,NS,17,5,3,1,,,0,0,2D8DKS/9HAHAS/5DTDKD/KCADQS,E2CSACW6CNQC/S6DWTDNADE9D/NKCEJCSTCWKH/N7CE9CS5CWTH/E8SS9SWTSN6S/W4SN2SE3SSAS/S7SW5SNQSEJS/N4HE5HS3HW2H/E2DS4DWJDNQH/W6HN7HEKSS9H/S8HWKDNJHE8D/N8CE7DS3CWQD/N4CE3DSAHW5D,-4.666667
217,0,right,2091409916054154700,EW,26,26,26,0,W,cfr,0,0,KCTHKS/TDJDQH/9CACKD/QC5DQD,N2CETCSQCWKC/WASN3SE4SSJS/W9SNKHE7SS8S/WKSNQHE9DS6S/WAHNJHEADS8H/WTSN9HE8DS5S/WTHN6HEKDS5H/W4HN2HE5CS3H/W7HNJDEJCSQD/W2SNTDE9CS5D/WQSN7DE4CS4D/W8CN7CEACS3D/E6CS2DW3CN6D,8.666667
217,1,right,2091409916054154700,NS,0,4,1,21,,,0,0,2C7CKC/JDADQH/9CAC8H/8CAHAS,W2CNKSEACS8C/E4SS8SW2SN3S/S6SW9SNJDE7S/W5DNADETDSKD/N7DE8DS4DWQD/W7CNTHE6CSAH/W4HN2HE8HS5H/E4CS3DW3CN6D/E5CS3HWQCNQH/W7HN6HE9DSAS/WKCNJHEJCS2D/WTSN9HETCSJS/S5SWQSNKHE9C,8.000000
218,0,across,13492124735377353187,EW,24,2,0,0,,,0,0,JCJDAD/5C6D8D/JHQSAS/3D9DKS,W2CNTCEKSSJC/S6SWTSN2SE4S/W8DN7DE5DSAD/S9SWKHNASE8S/N5SE3SS8HW7H/N7SE9DSTDW4H/NJSE9HSJDW6D/NQDE2DS4DWAH/NQSE3DS4CW5C/N5HE3HSACWKC/N6HEQHSQCW9C/E2HS7CW8CNJH/NTHEKDS6CW3C,7.333333
218,1,across,13492124735377353187,NS,26,26,0,26,S,cfr,0,0,TCJCTH/KD9HQH/4D8HJH/KHTSKS,W2CNQDE5CSJC/STDW9DNADE8D/NJSETSS6SWKD/N7SE4SS9SWAH/STHW9HN8HE3H/STCW9CNJHEKH/SQCW8CN5HEKS/SASWKCN5SE8S/S6CW3CN6HE6D/SQSW3DN2SE3S/SACWQHN4DE5D/S4CW7HN7DE2D/S7CW4HNJDE2H,8.666667
219,0,hold,6446095480991000054,EW,3,14,2,7,,,0,0,///,E2CS7CW4CNKC/NACEQCS9CW3C/N9SE6SS7SWKS/WJSNTSE8SS3S/W4SN2SEASSQS/EQDSADW7DN9D/S5DW4DN6DEJH/N8DETHSTDW2D/S4HWQHN7HE2H/W9HN3HEJCS8H/W3DNAHETCSJD/S5HWKDNKHE8C/N5CE6CS6HW5S,-5.333333
219,1,hold,6446095480991000054,NS,17,1,4,4,,,0,0,///,E2CS9CW4CNKC/NTSE8SS3SWKS/W3CN5CE8CS7C/E6CSQSWQHNAC/N6DEQDSTDW7D/EASS7SWJSN9S/E6SS8HW5SN2S/E2HS5HW9HN7H/W2DN9DEJHS5D/N8DETHSADWKD/SJDW4DNAHEQC/S4HW4SN3HEJC/S6HW3DNKHETC,-5.333333
220,0,left,17846810300314198541,EW,3,3,6,14,,,0,0,7DKD6H/KCTDQD/6CJCAC/7CJHAH,N2CE6DSKCWJC/S7SWTSN5SE9S/W6SN3SEASSQH/E7DS4DW5DNAH/ETHS9HWACNJH/N3CEQSS7HW6C/W2SNQCE8SS5H/EKDSQDWJDNTC/E2HS4HWKSN9C/S3DW2DN8CE8H/S9DW8DN7CE6H/STDWJSN5CEKH/SADW4SN4CE3H,-2.666667
220,1,left,17846810300314198541,NS,0,20,6,0,,,0,0,8C7DKD/KCQSAS/6CJCAC/7CJHAH,N2CE8CSKCWAC/W4SN5SE8SS7S/E9SSASWKSN3S/SADWJDNAHEKD/S9DW8DNJHE7D/S4DW2DN6HEQD/E2HS5HWJCN7C/S3DW5DN5CE6D/E3HSQHW6CNTC/S7HWJSNQCEKH/ETDSQSWTSN9C/E8HS4HW6SN4C/ETHS9HW2SN3C,4.666667
221,0,right,10800781045927845408,EW,26,26,26,0,W,cfr,0,0,QCACAS/JHAHKS/KCKDQS/2C8CJC,S2CWQCNTCEKC/EKDSQDWADN6D/W2DNKSE8DS9D/S9SWJSNTSE4S/WACNAHE6CSJC/W9CNKHE7CS4C/WTHN9HE6HS5H/WQHNJHEQSS5C/W7HN4HETDSJD/WASN8SE6SS3S/W8HN3HE7DS8C/W2HN5SE3CS5D/W7SN2SE4DS3D,8.666667
221,1,right,10800781045927845408,NS,21,0,0,5,,,0,0,TCQCAC/JHAHKS/5CKCQS/9CJCAD,W2CN6DE5CSJC/S9SWJSNASEQS/NKSE6SS3SW7S/NTSE4SS5HWAC/NJHE6HS9CWQH/W2HN3HETDSJD/N9HEKCSADW8H/N4HE6CS4CWTH/W7HNKHE8DSKD/N2SE7DS5DWQC/N8SE7CS9DWTC/N5SE4DS3DW8C/NAHE3CSQDW2D,-5.333333
222,0,across,3754751791541492279,EW,26,26,26,0,W,cfr,0,0,2CTHKH/TD9HAH/JDQSKS/8DKD8H,S2CWJCNJDEAC/ETSS9SW6SN7S/E4SSKHW8SN5S/W9HN6HE8HS7H/WTDN9DE6DS4D/WTCNQSE3CS9C/WASNKSE3SS7C/W8CNQDE5HS4C/WKCNJSE8DSQH/W6CN7DE5DSJH/W5CN3DE2SSTH/WQCN2DEKDS4H/WAHN2HEADS3H,8.666667
222,1,across,3754751791541492279,NS,26,26,26,0,W,mc,1,0,2C7DQD/ACADAH/4DJDQS/KD8HAS,S2CWACN4DE3C/WADNJDEKDSQD/WKCNQSE9HS9C/WAHN6HE8HS7H/WQCNJSEASS7C/WJCN3DETSS4C/WTCNTHETDS9S/W8SN7SE4SSKS/S7DW8DN9DE6D/N5SE3SSQHW6S/W8CN2DE5DS3H/W6CN2HE2SS4H/W5CNKHE5HSJH,-8.666667
223,0,hold,15155466610864690762,EW,1,17,4,4,,,0,0,///,E2CSJCW3CNQC/N2SE8SSTSW5S/S4CWKCN8CE9C/WADN4DETDSKD/WTCNACE7CS5C/N6SEQSS4SW5D/E8DSJDW9DN7S/S3SWAHN9SE7D/N4HE5HS2HW3H/E7HS8HWQHN9H/W2DNASETHSQD/S3DWKHNKSE6H/S6DWJHNJSE6C,-5.333333
223,1,hold,15155466610864690762,NS,0,14,6,6,,,0,0,///,E2CSJCWKCNQC/WTCN8CE6CS5C/W5SN6SE8SSTS/S4SWAHN9SEQS/E5HS2HWJHN9H/WADN4DETDSJD/W3CNACE9CS4C/N4HE6HS8HW3H/S6DW5DN7SE7D/E7HSKDWQHNAS/W2DNKSE8DSQD/S3SWKHN2SETH/S3DW9DNJSE7C,4.666667
224,0,left,8109437356478337633,EW,25,0,0,1,,,0,0,2C8DJH/8CQCKH/9DTDAD/TCJCAC,E2CS5CW7CNTC/N7DE6DSKHWAD/W4CNJCEJHS9C/N7SETSS5SWAS/W2HN7HE6HS5H/NJSE9SS2SW4S/NQSE6SSQHW3S/NKCEKSSQCW8S/NACE8DS8CWTD/N8HEKDS4HWJD/N9HEQDS3HW4D/NTHE5DS6CW3D/NAHE2DS3CW9D,8.000000
224,1,left,8109437356478337633,NS,24,0,2,0,,,0,0,KC7D8D/QCKHKS/9DTDAD/ACJDAS,N2CEKCS9CWJC/E8CS5CWTCNAC/NASETSSKSW8S/NJDE8DSKHWTD/NAHE6HS5HW2H/NJSE9SS5SW4S/N7SE6SS2SW3S/N7HEKDS4HWAD/N9HEQDSQHW7C/S3HW9DNTHE7D/N8HE6DSQCW4D/NQSE5DS6CW4C/NJHE2DS3CW3D,-8.666667
225,0,right,1063408102091984500,EW,4,17,1,4,,,0,0,9CACKS/7C8CTC/JCKC8D/5DJHQH,S2CWQCNTCEKC/E9SS4SWASN6S/W5SNTHE8SSJS/S6CWACN8CEJC/W4HN5HE2HS3H/N8HETDS7HW9H/W7SN7CETSS4D/E2SSAHW3SNAD/W3CN4CEJDS5D/N2DE3DSKHWQS/E9DSQHW9CN7D/E8DSJHW5CN6D/EKDS6HWKSNQD,-5.333333
225,1,right,1063408102091984500,NS,26,26,0,26,S,cfr,0,0,9CACKS/8CTCKD/4D8D4S/5DQHAS,S2CWQCNTCE7C/W3CN4CE2HSKC/S7HW4HN5HE8S/SQHW9HN8HEJD/SKHWJHNTHETS/SASWKSN6SE9S/SAHWACNADETD/S6HW9CNKDE9D/S3HW7SN8CE8D/S6CW5CN7DE4S/SJCW5SN6DE4D/SJSW3SNQDE2S/S5DWQSN2DE3D,8.666667
226,0,across,12464122921415182987,EW,26,0,26,26,E,cfr,0,0,8CQCQD/8HTHAH/JC9DTD/9CKSAS,N2CE9CS8CWKC/WKDNTDEJDSQD/WACNJCE5CSQC/W9SN7SEASS8S/E2DS4DWADN9D/W6SNTSEJSS5S/ETCS7CWQHNJH/E3SS7HWTHN9H/E4SS2HWAHN6H/EKSS8DW8HN7D/E2SS6DW3DN5D/E6CS4CWKHN5H/EQSS3CW3HN4H,8.666667
226,1,across,12464122921415182987,NS,2,0,0,24,,,1,1,2C8CQC/8HTHAH/TD5S8S/3D3H6S,S2CW9CNTDETC/E5CS3CWKCN9H/WASN8SEQSS7H/WAHN4HE3HS2H/WADN7DEJDS9D/WACNQDE6CS8C/WKSNTSEJSSJC/WKHN5HE6SS4C/WKDN5DE3DS8D/WQHN6HE4SS7C/WTHNJHE3SSQC/N7SE2SS4DW9S/W8HN5SE2DS6D,7.333333
227,0,hold,5418093667028829854,EW,21,1,4,0,,,0,0,///,N2CE9CSQCWJD/S4SWTSN3SEAS/E7DS9DW8DNAD/NQDE6DSTDW4D/N4CEACSKCWQH/E5HS4HW3HNAH/N2SE6SS5SW9S/W7SNQSE8SSJH/N8HE6HSTHW7H/S3CWKDN7CETC/E2HS5DW3DNKH/N8CEKSS6CW2D/NJCE9HS5CWJS,8.000000
227,1,hold,5418093667028829854,NS,21,5,0,0,,,0,0,///,N2CE9CSKCW9S/S4SW7SN2SEKS/E6SS5SWTSN3S/WJSNQSE8SSJH/N8HE9HS4HW7H/E5HSTHW3HNKH/NADE7DSTDWKD/N4CEACS5CWQH/E2HS5DWJDNAH/NJCETCSQCW8D/S9DW4DNQDE6D/N7CE6HS3CW3D/N8CEASS6CW2D,-5.333333
228,0,left,16818808486352028341,EW,26,26,0,26,S,mc,1,0,8CTCAD/8D9HTH/2D3DJD/5D6D9D,E2CSJCW9CNKD/S8DWJDNTDEAD/E6SS4SW2SN8S/N5SE7SSTSWJS/W3DN4DE7DSKC/E3CSACW7CNAH/S9HW7HN5HEAS/SKHW3HN4HE8C/SQSW3SN5DE9S/SQHW8HN2HEQC/SJHW6CNQDETC/STHW2DN9DE5C/S6HW4CN6DEKS,-8.666667
228,1,left,16818808486352028341,NS,1,15,4,6,,,0,0,8CTCTD/THKSAS/JCKCAC/5D6D9D,E2CS3DW4CNQD/WJSN8SE9SSAS/SKSW3SN5SE7S/STSW2SN4HE6S/S4SW8HN5DE9H/SJDW7HN9DETD/S2DW3HNKDE8D/N4DE7DSQSWAC/E3CSTHWKCNAH/W6CNADEQCSQH/E5CSJHWJCN5H/W7CN6DETCS6H/E8CSKHW9CN2H,5.333333
229,0,right,9772779231965675208,EW,0,16,7,3,,,0,0,QCACQS/9CTCJC/KDAHAS/9HTHQH,W2CN7CE8CS7S/ETDS8DWQSN9D/E6DS7DWKHN5D/S4HW6HNADE3H/W6SN3SEASSJS/EKDS3DWTSNJD/E4SS5SW8HN2S/S5HWKCNJCE2H/S4DWACN2DEAH/SQDW5CNTCEKS/S9HWQCN9CE7H/STHW6CN8SEJH/E9SSQHW3CN4C,-4.000000
229,1,right,9772779231965675208,NS,1,16,0,9,,,0,0,7CACQS/JCTDKS/KDAHAS/9HQHKH,W2CNQCETCSJS/NJCE9CSQHW7C/N4CE8CSKHW6C/E6DS4DWQSN2D/E2HS4HW6HNKS/WTSN3SE9SS7S/W6SN8SE4SS5S/N2SEASS9HWTH/E3HS5HW8HNTD/W3CN9DEAHS7D/W5CN5DEJHS3D/WKCNJDE7HSQD/WACNADEKDS8D,8.000000
230,0,across,2726749977579322079,EW,26,0,26,26,E,cfr,0,0,KDJHKS/JC9D8H/5C9CQH/KCACQS,N2CE8CSKSWJC/WTSNJSEQSS7S/EJDSKDWTDNQD/S2SW3SN5SE8S/EKCS7DW3CNQC/EADS2DW4DN5D/E9SSJHW5HNTC/EASSTHW9DN9C/EACS9HW3DN7C/E4SS7HW8HN6C/E6SS6HW6DN5C/EKHS4HW2HNQH/EAHS3HW8DN4C,8.666667
230,1,across,2726749977579322079,NS,26,0,26,26,E,mc,1,1,QDJHKS/4S6S8S/5C9CTH/KCACQS,N2CEACSKSW3C/EASS7SWTSN5S/EADS7DWTDNKD/EKCS6HW6DNTC/EAHS9HW5HNTH/EKHS7HW2HN9C/EQSS2SW8SNJS/EJDS2DW8DN5D/EJCS3HW6SN6C/E9SSJHW4SN5C/E9DSQDW4DN7C/S4HW3SNQCE8H/E8CSQHW3DN4C,-8.666667
231,0,hold,14127464796902520562,EW,0,24,0,2,,,0,0,///,E2CS4CWACNJC/W9SNTSE6SS8S/N5CEKCSQSW9C/EQCSASWTCN8C/E4DS6DW9DNKD/NKSE7SSJSW4S/N5DEADSQDW2D/E6CS7DW3CNJD/E3SS2SW5SN8D/W7CNTDEQHSKH/W4HN3HEAHS7H/ETHS2HW8HN6H/EJHS3DW9HN5H,-8.666667
231,1,hold,14127464796902520562,NS,2,21,3,0,,,0,0,///,E2CS4CWACNJC/W9DNJDE4DSQD/S6DW2DNTDEAD/E3SSASW9SNKS/SJSW5SNTSE7S/S8SW4SN5HE6S/S3DW9HN5DEAH/N3HETHS7HW8H/EJHS2HW4HN6H/EQHSKHWTCNKD/S7DW9CN8DEKC/N5CE6CSQSW3C/EQCS2SW7CN8C,5.333333
232,0,left,7081435542516167433,EW,0,5,15,6,,,0,0,QCTHKS/8DJHQH/2CJCKD/9CKCAS,W2CN7CETCSAC/S7SW4SN3SE5S/S8SWKHN2SEKS/ETHS8HW6HN7H/E7DS8DWQDNJD/W2HNASEQSSAH/S2DWTDN9DE6D/W5CN8CE6CS4C/N3DE4DSQHWKD/WJCN9CE3CSJH/W9HNKCE6SS5H/W5DNJSEQCS4H/WADN9SETSS3H,1.333333
232,1,left,7081435542516167433,NS,26,26,0,26,S,cfr,0,0,7C8CQC/JHQHQS/JC2DKD/KCADAS,S2CWJCNKCEQC/N9SETSS7SW4S/E5SS8SW9CNAS/N2SE6SSQSWKH/SAHW9HNTHETC/SACW5CN7HE8C/SQHW6HNKSE8D/S5HW2HNADE7D/S3HWKDNJDE7C/SJHWQDN9DE6D/S8HWTDNJSE6C/S4HW5DN3SE4D/S4CW2DN3DE3C,8.666667
233,0,right,35406288129814300,EW,21,5,0,0,,,1,0,ACKDKS/JDTHTS/5C6CAH/4C8C9C,E2CS8CWACNQC/WKDNQDE9DS4D/WADNJDE7DS3D/W4SNTSEAHS7S/N7CE6CS4CWKS/NTHE3HS8HW9H/NQSETCSJSW9S/NTDE5DSASW7H/N8SE5CS5SW5H/N6SE3CS3SWJH/N6DE8DS6HWQH/EKCS9CWKHN2S/EJCS4HW2HN2D,5.333333
233,1,right,35406288129814300,NS,6,5,0,15,,,0,0,7CQCAC/KCJDTH/5C6CAH/ADQHKH,E2CSADW7CNKC/N8SETSS5SW9S/E5DS4DWJHNTD/NTHE3HS6HW9H/NQDE9DS3DWQC/NKDE8DSQHW4S/N6DE7DS8HW7H/E3CSKHW4CNQS/W2HNKSEAHS4H/E5CSASW8CN6S/W5HNJDEJCSJS/W9CN2DE6CS7S/WACN2SETCS3S,4.666667
234,0,across,11436121107453012787,EW,0,2,24,0,,,1,1,ACKHKS/6H9HJH/2H3H7S/2C8HTH,E2CSACWJDN9C/SASW6SN7SEQD/SKSWTSN5SETH/SAHW9HN5HE8H/SKHW6HN3HE5C/SQSW2SN4SETC/SQHW4HN2HE6C/SJSW7DN3SEJC/STDWADN3DE2D/WKDN9DE4DS8C/W5DN8DE7CS8S/N3CEKCS9SWJH/EQCS7HW6DN4C,7.333333
234,1,across,11436121107453012787,NS,0,0,8,18,,,0,0,8D9DKH/QD9HJH/8CTD7S/2CKDAD,E2CS9DWTSN8C/N7SE6HSASW6S/SKHWJHN5HEAD/SQHWTHNTDEKD/SAHW9HN4SEKC/S8DWJDN3DE4D/W2SN3SEQCS9S/S7HW8HNKSEJC/W4HN9CETCS2H/W5DNACE2DSQS/W6DN4CE7CS8S/W7DN5SE6CS3H/WQDN3CE5CSJS,3.333333
235,0,hold,4390091853066659654,EW,9,0,17,0,,,0,0,///,W2CNKCETCS4C/N8SETSS7SW4S/E5SSASWKSNJS/SQSW6SN9SE6D/SKDW5DN9DEJD/SJCWQCN8CE6C/W4DN8DE7DSTD/SACW9CN3CE8H/S4HW7CN5HE3H/N6HE2HSQHW3D/STHW5CNJHE9H/NKHEQDS7HW2S/NAHE2DSADW3S,8.666667
235,1,hold,4390091853066659654,NS,26,26,26,0,W,mc,1,0,///,W2CNKCETCSJC/N9SETSS7SWKS/W2SN8SE5SSAS/SADW5DN8DEQD/SACWQCN8CE6C/SKDW4DN9DEJD/STDW3DNJSE7D/S4CW5CN3CE9H/W9CNAHE8HSQS/W7CN6HE6DSTH/W6SNKHE2DS7H/W4SN5HE3HS4H/W3SNJHE2HSQH,-8.666667
236,0,left,15790806672389858141,EW,0,7,18,1,,,1,1,JCKCAD/8CACKS/5D4H3S/QH5SQS,S2CW6CN4CEKC/E6SSASW8SNQS/SACW3CNTSEJC/SKSW3SN7SE9S/SQDWTDN8DEAD/E5CSQCW5HN5S/SAHW7HNQHE6H/SJSW5DN4SE9D/SJHW4HNTHEKH/E3HS7DW4DN2H/E3DSTCW6DN9H/W2DN8HEKDS9C/E7CS8CWJDN2S,3.333333
236,1,left,15790806672389858141,NS,0,13,6,7,,,0,0,KC8DAD/KDKHKS/9CQCAS/3C6CQS,S2CW9CNJCEKC/EADS7DWJDNQS/E9SSJSW8SNTS/SKDWTDNTHE9D/STCWQCN4CEAC/E3HS4HW5HN2H/W7HN9HE6HSKH/S5DW4DN8HE3D/SJHWQHN4SE8D/W2DN7SE6SSQD/SKSW5SN2SE8C/S3SWASN6CE7C/W6DN3CE5CSAH,4.666667
237,0,right,8744777418003505008,EW,0,1,25,0,,,1,1,JC9SQS/8CQC7D/2C9C6D/6CKHKS,E2CS6CWJCNQC/N3SE4SSASWQS/SKSW6SNQDE8S/SKDWTDN7DE6D/SKCW6HN8CEAC/E4CSTCWJSN7C/STSW9SN5CE2S/SJDW4DN5DE9C/S9HW4HN8HE5H/STHWADN7HE3H/SQHW9DNJHE7S/SKHW3DN2HE5S/SAHW8DN2DE3C,8.000000
